#,red,green,blue,label
1,20,139,240,Blue
2,174,83,72,Brown
3,144,249,131,Green
4,168,25,156,Pink
5,30,182,136,Green
6,199,150,175,Pink
7,199,93,154,Pink
8,231,243,25,Yellow
9,48,213,76,Green
10,38,3,64,Blue
11,82,181,56,Green
12,249,99,108,Pink
13,24,161,177,Blue
14,180,134,41,Brown
15,125,103,236,Blue
16,10,155,98,Green
17,228,85,7,Orange
18,249,15,198,Pink
19,172,13,155,Pink
20,215,195,149,Brown
21,250,146,229,Pink
22,159,253,91,Green
23,58,137,127,Green
24,201,191,242,Purple
25,253,208,44,Yellow
26,95,189,94,Green
27,119,183,248,Blue
28,71,45,228,Blue
29,161,229,147,Green
30,202,21,34,Red
31,29,5,190,Blue
32,1,86,186,Blue
33,213,160,139,Brown
34,172,15,121,Pink
35,127,240,90,Green
36,7,160,197,Blue
37,187,191,105,Green
38,37,233,32,Green
39,101,40,153,Purple
40,91,77,165,Purple
41,216,154,222,Pink
42,43,223,41,Green
43,13,23,218,Blue
44,40,227,174,Green
45,122,168,93,Green
46,82,157,53,Green
47,77,53,19,Brown
48,45,158,151,Green
49,154,3,50,Pink
50,138,214,179,Green
51,28,154,202,Blue
52,126,111,138,Purple
53,199,106,189,Pink
54,121,110,237,Blue
55,83,225,69,Green
56,22,68,79,Green
57,165,140,146,Grey
58,205,6,230,Pink
59,138,40,96,Pink
60,237,99,167,Pink
61,96,70,210,Blue
62,91,179,160,Green
63,27,65,68,Green
64,90,74,177,Blue
65,94,35,55,Brown
66,68,240,4,Green
67,108,205,107,Green
68,135,150,126,Green
69,45,193,250,Blue
70,222,208,15,Yellow
71,114,177,116,Green
72,150,170,0,Green
73,93,69,220,Blue
74,7,25,120,Blue
75,93,75,199,Blue
76,125,114,45,Green
77,48,180,118,Green
78,90,85,172,Blue
79,21,156,221,Blue
80,23,119,227,Blue
81,183,193,0,Yellow
82,78,66,228,Blue
83,221,141,165,Pink
84,50,131,120,Green
85,237,227,32,Yellow
86,25,124,117,Green
87,184,185,99,Green
88,60,11,184,Blue
89,128,203,17,Green
90,176,34,118,Pink
91,15,77,233,Blue
92,73,71,31,Grey
93,140,178,187,Blue
94,94,160,239,Blue
95,153,174,67,Green
96,44,17,61,Purple
97,22,73,181,Blue
98,241,147,43,Orange
99,231,15,60,Pink
100,24,63,229,Blue
101,32,114,134,Blue
102,73,203,197,Blue
103,201,64,139,Pink
104,100,34,146,Purple
105,104,124,76,Green
106,237,23,6,Red
107,84,24,253,Blue
108,207,221,69,Yellow
109,226,158,50,Orange
110,76,21,88,Purple
111,146,70,179,Purple
112,18,240,118,Green
113,146,253,227,Green
114,120,112,15,Green
115,40,181,201,Blue
116,122,234,187,Green
117,131,111,1,Green
118,96,123,96,Grey
119,47,131,241,Blue
120,153,96,246,Purple
121,187,109,167,Pink
122,194,191,49,Yellow
123,237,168,135,Orange
124,20,240,35,Green
125,159,254,27,Green
126,93,16,175,Purple
127,26,4,250,Blue
128,164,229,160,Green
129,162,24,143,Pink
130,147,127,137,Grey
131,213,85,199,Pink
132,187,52,84,Pink
133,252,229,113,Yellow
134,248,89,204,Pink
135,93,108,230,Blue
136,215,95,12,Orange
137,144,205,203,Green
138,179,19,115,Pink
139,213,64,139,Pink
140,214,79,12,Orange
141,44,183,126,Green
142,247,183,133,Orange
143,150,242,18,Green
144,212,171,201,Pink
145,110,12,97,Purple
146,72,198,20,Green
147,115,101,51,Brown
148,187,86,150,Pink
149,249,135,7,Orange
150,164,105,248,Purple
151,74,148,136,Green
152,113,196,74,Green
153,201,34,192,Pink
154,79,18,222,Blue
155,0,157,138,Green
156,107,128,105,Grey
157,140,20,70,Pink
158,132,218,15,Green
159,167,202,217,Blue
160,215,142,209,Pink
161,126,38,126,Pink
162,199,225,240,Blue
163,96,78,130,Purple
164,125,253,242,Blue
165,164,86,80,Brown
166,180,249,170,Green
167,85,233,90,Green
168,199,233,203,Green
169,90,154,76,Green
170,54,187,79,Green
171,125,43,30,Brown
172,35,34,66,Blue
173,243,33,165,Pink
174,1,119,93,Green
175,91,206,23,Green
176,54,240,229,Green
177,157,168,249,Blue
178,100,211,172,Green
179,49,194,108,Green
180,98,115,97,Grey
181,42,49,89,Blue
182,50,157,15,Green
183,56,132,76,Green
184,92,203,37,Green
185,96,153,95,Green
186,55,25,104,Purple
187,55,118,237,Blue
188,139,157,154,Grey
189,228,91,251,Pink
190,6,218,230,Blue
191,222,10,80,Pink
192,9,132,209,Blue
193,158,56,220,Purple
194,99,24,41,Brown
195,222,101,221,Pink
196,117,129,227,Blue
197,37,236,19,Green
198,228,183,138,Brown
199,9,228,206,Green
200,183,16,203,Pink
201,74,222,101,Green
202,176,253,108,Green
203,124,197,25,Green
204,169,231,234,Blue
